"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,
"//","When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,
"//",,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,
"//!",,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,
"//!",,,,,,,
,,,,,,,
"#","Nodes",,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","FreeDOS Beta 5","#ee7600","FreeDOS Beta 4","2000.8.1","2002.3.1","",""
"N","FreeDOS Beta 6","#ee7600","FreeDOS Beta 5","2001.3.1","2002.9.1","",""
"N","MS-DOS 7.1 (Windows 98)","#00a1f1","MS-DOS 7.1 (Windows 95 R. 2)","1998.6.1","2000.5.1","",""
"N","FreeDOS Beta 7","#ee7600","FreeDOS Beta 6","2001.9.1","2003.4.1","",""
"N","FreeDOS Beta 8","#ee7600","FreeDOS Beta 7","2002.4.1","2004.7.1","",""
"N","MS-DOS 7.1 (Windows 98 SE)","#00a1f1","MS-DOS 7.1 (Windows 98)","1999.5.1","2001.7.1","",""
"N","FreeDOS Beta 9 RC1","#ee7600","FreeDOS Beta 8","2003.7.1","2004.8.1","",""
"N","FreeDOS Beta 9 RC2","#ee7600","FreeDOS Beta 9 RC1","2003.8.1","2004.9.1","",""
"N","FreeDOS Beta 9 RC3","#ee7600","FreeDOS Beta 9 RC2","2003.9.1","2005.2.1","",""
"N","FreeDOS Beta 9 RC4","#ee7600","FreeDOS Beta 9 RC3","2004.2.1","2005.3.1","",""
"N","FreeDOS Bets 9 RC5","#ee7600","FreeDOS Beta 9 RC4","2004.3.1","2005.9.1","",""
"N","FreeDOS Beta 9","#ee7600","FreeDOS Bets 9 RC5","2004.9.1","2005.11.1","",""
"N","FreeDOS Beta 9 SR1","#ee7600","FreeDOS Beta 9","2004.11.1","2006.11.1","",""
"N","FreeDOS Beta 9 SR2","#ee7600","FreeDOS Beta 9 SR1","2005.11.1","2007.9.1","",""
"N","FreeDOS 1.0","#ee7600","FreeDOS Beta 9 SR2","2006.9.1","2012.1.1","",""
"N","FreeDOS 1.1","#ee7600","FreeDOS 1.0","2012.1.1","2016.10.1","",""
"N","FreeDOS 1.2 RC1","#ee7600","FreeDOS 1.1","2016.10.1","2016.11.1","",""
"N","FreeDOS 1.2 RC2","#ee7600","FreeDOS 1.2 RC1","2016.11.1","2016.12.1","",""
"N","FreeDOS 1.2","#ee7600","FreeDOS 1.2 RC2","2016.12.1","2019.3.1","",""
"N","FreeDOS 1.3 RC1","#ee7600","FreeDOS 1.2","2019.3.1","","",""
"N","MS-DOS 8.0 (Windows ME)","#00a1f1","MS-DOS 7.1 (Windows 98 SE)","2000.9.1","2003.1.1","",""
"N","MS-DOS 4.1","#00a1f1","MS-DOS 4.0","1987.9.1","1988.2.1","",""
"N","PC DOS 3.3","#1f70c1","PC DOS 3.2","1987.4.1","1988.7.1","",""
"N","PC DOS 4.0","#1f70c1","PC DOS 3.3","1988.7.1","1989.6.1","",""
"N","PC DOS 4.01","#1f70c1","PC DOS 4.0","1988.9.1","1991.6.1","",""
"N","PC DOS 5.0","#1f70c1","PC DOS 4.01","1991.6.1","1993.6.1","",""
"N","PC DOS 6.1","#1f70c1","PC DOS 5.0","1993.6.1","1994.5.1","",""
"N","PC DOS 6.3","#1f70c1","PC DOS 6.1","1993.12.1","1995.4.1","",""
"N","PC DOS 7.0","#1f70c1","PC DOS 6.3","1995.4.1","1998.5.1","",""
"N","PC DOS 2000","#1f70c1","PC DOS 7.0","1998.5.1","2000.8.1","",""
"N","PC DOS 7.1","#1f70c1","PC DOS 2000","2000.8.1","2002.1.1","",""
,,,,,,,
"#","Connectors",,,,,,
